Fluffy Pancakes,"1, 14, 34"
Spinach and Feta Quiche,"2, 7, 35"
Beef Wellington,"3, 14, 5"
Chocolate Chip Cookies,"2, 15, 14"
Chicken Pad Thai,"4, 15, 36"
Croissant,"5, 16, 37"
Tiramisu,"6, 17, 38"
Sushi Rolls,"7, 4, 37"
Spanakopita,"8, 2, 35"
Baklava,"3, 7, 20"
Omelette,"3, 15, 37"
Margherita Pizza,"7, 20, 40"
Chicken Caesar Salad,"7, 15, 41"
Apple Pie,"15, 35 "
Beef Stir-Fry,"7, 15, 43"
Chocolate Cake,"7, 19, 44"
Falafel,"10, 20, 45"
Lemon Bars,"11, 21, 46"
Shrimp Scampi,"7, 4, 47"
Beef Tacos,"7, 22, 15"
Croque Monsieur,"7, 1, 49"
Chicken Enchiladas,"4, 23, 50"
Blueberry Muffins,"7, 24, 19"
Pad See Ew,"7, 15"
Shepherd's Pie,"7, 15, 35 "
Tuna Salad Sandwich,"7, 15, 53"
Miso Soup,"7, 15, 54"
Key Lime Pie,"12, 15, 35 "
Chicken Tikka Masala,"7, 15, 56"
Beef Bourguignon,"7, 1, 17"
Cheese Soufflé,"7, 1, 57"
Scones,"7, 1, 58"
Caprese Salad,"7, 15, 59"
Beef Bulgogi,"7, 15, 60"
Chicken Noodle Soup,"7, 15, 35 "
Chocolate Truffles,"7, 27, 61"
Huevos Rancheros,"7, 15, 62"
Ratatouille,"7, 1, 63"
Falafel Wrap,"10, 1, 64"
Lemon Chicken Piccata,"7, 15, 66"
Vegetable Stir-Fry,"7, 15, 67"
Chicken Alfredo,"7, 15, 68"
Croissant Bread Pudding,"2, 30, 1"
Spaghetti Carbonara,"7, 15, 69"
Chicken Shawarma,"7, 15, 70"
Red Velvet Cake,"7, 1, 71"
Margherita Flatbread,"7, 18, 40"
Gyro Wrap,"7, 15, 64"
Pesto Pasta,"7, 15, 72"
Chicken Caesar Wrap,"7, 15, 41"
Mushroom Risotto,"7, 1, 69"
Avocado Toast,"7, 15, 73"
Chicken Quesadilla,"7, 15, 74"
French Onion Soup,"7, 1, 75"
Lemon Ricotta Pancakes,"13, 33, 76"
Empanadas,"11, 6"
Asado,"60, 57"
Brigadeiro,"17, 14"
Feijoada,"17, 51"
Fritule,"20, 54"
Pašticada,"25, 53"
Nasi Goreng,"15, 67"
Sate Ayam,"65, 61"
Babi Guling,"52, 39"
Ameijoas à Bulhão Pato,"47, 48"
Pão de Ló,"13, 14"
Queijadas de Sintra,"42, 41"
Churros,"20, 22"
Paella,"18, 51"
