1,Gather ingredients,5,prep
2,Preheat griddle or skillet,5,prep
3,Grease griddle or skillet,2,prep
4,"Sift dry ingredients (flour, sugar, baking powder, salt) into a bowl",5,prep
5,"In a separate bowl, whisk together wet ingredients (eggs, milk, melted butter)",5,prep
6,Create a well in the center of the dry ingredients and pour in the wet ingredients,2,prep
7,Gently fold wet and dry ingredients until just combined,3,prep
8,Let batter rest for 5-10 minutes to allow gluten to relax,10,prep
9,Heat griddle or skillet over medium heat,5,cook
10,"Ladle batter onto the griddle or skillet, using about 1/4 cup per pancake",2,cook
11,"Cook until bubbles form on the surface of the pancakes and the edges look set, about 2-3 minutes",3,cook
12,"Flip pancakes and cook until golden brown on the other side, about 2-3 minutes",3,cook
13,Transfer cooked pancakes to a plate and keep warm while cooking remaining batter,5,cook
14,Preheat oven to 375°F (190°C),5,prep
15,Prepare pie crust in a 9-inch (23 cm) pie dish,10,prep
16,Heat olive oil in a skillet over medium heat,2,cook
17,"Add chopped onion and cook until softened, about 5 minutes",5,cook
18,"Add chopped spinach to the skillet and cook until wilted, about 3 minutes",3,cook
19,"In a large bowl, whisk together eggs, milk, salt, and pepper",5,prep
20,Stir in crumbled feta cheese,2,prep
21,Add cooked spinach mixture to the egg mixture and stir to combine,3,prep
22,Pour the mixture into the prepared pie crust,2,prep
23,"Bake in the preheated oven until the quiche is set and the crust is golden brown, about 35-40 minutes",35,cook
24,Allow the quiche to cool for a few minutes before slicing and serving,5,prep
25,"Prepare the beef tenderloin by trimming excess fat and tying with kitchen twine, if necessary",15,prep
26,Season the beef generously with salt and pepper,5,prep
27,Heat olive oil in a skillet over high heat,2,cook
28,"Sear the beef on all sides until browned, about 2 minutes per side",8,cook
29,Remove the beef from the skillet and let it cool completely,10,prep
30,"Prepare the mushroom duxelles by finely chopping mushrooms, shallots, and garlic",10,prep
31,Cook the mushroom mixture in the same skillet used for searing the beef until the moisture evaporates,10,cook
32,Roll out puff pastry on a floured surface to a size large enough to wrap the beef,10,prep
